row_id,label,text_hash,split
ex_000000,1,e0cc81a4d5f0f2b3,test
ex_000001,1,906f97390ef91f64,train
ex_000002,1,50fe44bc8cf60d1c,validation
ex_000003,1,4bedb3fea5ed5fbe,validation
ex_000004,1,f1a8b2543327a925,validation
ex_000005,1,c298e316313dbf2a,train
ex_000006,1,86e88a5ceeb78572,train
ex_000007,1,a9c94c9864a9c2d0,validation
ex_000008,0,00339240d3bab0af,train
ex_000009,1,b368082c4dfc92a1,train
ex_000010,1,caa555fda5481362,train
ex_000011,1,1039e1b925049ce6,train
ex_000012,1,1c94926b81fc81a8,test
ex_000013,1,5c7730d5e8746e7f,train
ex_000014,1,a4f3eb1a5802249e,validation
ex_000015,1,92af705556f9cffe,validation
ex_000016,1,f07143bf5f993869,train
ex_000017,1,1ebc915da5446046,validation
ex_000018,1,98d7caeeb99b3ae8,train
ex_000019,1,21f8a3afe812f2b7,train
ex_000020,1,898c0480815113ba,train
ex_000021,1,aaaf481f25917405,test
ex_000022,1,aadd55ef2d9d34b5,train
ex_000023,1,4fb27b01defd61d6,test
ex_000024,1,391b077b6119a040,validation
ex_000025,1,3c5e50ad0073f682,train
ex_000026,1,db1bd2f0a62f27db,train
ex_000027,1,a4a9cb48b46aa7a9,validation
ex_000028,1,ca27e624a1c9d154,train
ex_000029,1,ed43b9efb8c2500f,train
ex_000030,1,0b67129fca4dc80a,train
ex_000031,1,1facb7fcf2a51d84,validation
ex_000032,1,04f8212c9fc3d681,train
ex_000033,1,8eb7a55b73e8b6f9,train
ex_000034,0,024bc26847a63b8a,test
ex_000035,1,4b245d3824cc490f,test
ex_000036,1,5e14d7dde7dd0591,train
ex_000037,1,dedd868d0dc33665,train
ex_000038,1,69c20f5e843b6a91,train
ex_000039,0,29261a69d1cb3232,validation
ex_000040,1,4330f780ed437305,train
ex_000041,1,36382a46f9b798f2,test
ex_000042,1,6f4e3791e76f9f3b,train
ex_000043,1,256c8953cff4fc12,train
ex_000044,1,679d5c6b39c5cfd0,train
ex_000045,1,db1b4714e61eae5c,train
ex_000046,1,cb61ce12bd757860,test
ex_000047,1,fecca2d365e147be,train
ex_000048,1,22a98ab4c5c76462,train
ex_000049,1,53cbdc62461f0de3,train
ex_000050,1,c12578a352ff6c58,train
ex_000051,1,1feb495dd06fc99c,train
ex_000052,0,80b28c8a3bec45bd,train
ex_000053,0,3af39e8da3edf082,test
ex_000054,1,e8aea722348475de,train
ex_000055,1,1b9ff97ba35c2ff8,train
ex_000056,1,df7236eab4044c9e,train
ex_000057,1,96ebc4abb008cf0b,train
ex_000058,1,82121dd0f75703b4,train
ex_000059,0,a36e5d51246bd1f4,validation
ex_000060,1,ae90a64a74af6ca6,test
ex_000061,0,52ba5d42ef805b24,train
ex_000062,0,a7a6aa6c59960191,train
ex_000063,0,d6c4fc4da801268e,train
ex_000064,0,c815d6be5a7cb7f3,test
ex_000065,0,eba8e321645f932a,train
ex_000066,0,3c1eaf4c902acd7c,train
ex_000067,1,cde590a9238edbd8,train
ex_000068,0,8cfd980bb91e9f43,train
